fila,Tiempo,setpoint Tref,Tref,setpoint Tana,Tana,setpoint_presion,fecha,Pana,Pref
6188,103.11666666666666,373.1499938964844,373.0691223144531,623.1500244140625,621.6307373046875,0.10000000149011612,26/05/2025 18:12:00,1.885276198387146,0.0031910359393805265
6189,103.13333333333334,373.1499938964844,373.1716003417969,623.1500244140625,620.9329833984375,0.10000000149011612,26/05/2025 18:12:01,1.885276198387146,0.0031927048694342375
6190,103.15,373.1499938964844,373.5521545410156,623.1500244140625,623.787353515625,0.10000000149011612,26/05/2025 18:12:02,1.885276198387146,0.0032043694518506527
6191,103.16666666666667,373.1499938964844,373.2447814941406,623.1500244140625,622.13818359375,0.10000000149011612,26/05/2025 18:12:03,1.885276198387146,0.0032360374461859465
6192,103.18333333333334,373.1499938964844,373.4057922363281,623.1500244140625,622.5821533203125,0.10000000149011612,26/05/2025 18:12:04,1.885276198387146,0.0032252012751996517
6193,103.2,373.1499938964844,373.2228088378906,623.1500244140625,620.2352294921875,0.10000000149011612,26/05/2025 18:12:06,1.885276198387146,0.003220200538635254
6194,103.21666666666667,373.1499938964844,373.120361328125,623.1500244140625,621.6942138671875,0.10000000149011612,26/05/2025 18:12:07,1.885276198387146,0.0032235383987426758
6195,103.23333333333333,373.1499938964844,373.2447814941406,623.1500244140625,621.8843994140625,0.10000000149011612,26/05/2025 18:12:08,1.885276198387146,0.0032193721272051334
6196,103.25,373.1499938964844,373.2886962890625,623.1500244140625,621.5672607421875,0.10000000149011612,26/05/2025 18:12:09,1.885276198387146,0.00323353405110538
6197,103.26666666666667,373.1499938964844,373.36187744140625,623.1500244140625,622.708984375,0.10000000149011612,26/05/2025 18:12:10,1.885276198387146,0.0032252012751996517
6198,103.28333333333333,373.1499938964844,373.44970703125,623.1500244140625,623.9776611328125,0.10000000149011612,26/05/2025 18:12:11,1.885276198387146,0.0032235383987426758
6199,103.3,373.1499938964844,373.2959899902344,623.1500244140625,622.3284912109375,0.10000000149011612,26/05/2025 18:12:12,1.885276198387146,0.0032293677795678377
6200,103.31666666666666,373.1499938964844,373.1423034667969,623.1500244140625,621.9478759765625,0.10000000149011612,26/05/2025 18:12:13,1.885276198387146,0.00323353405110538
6201,103.33333333333333,373.1499938964844,373.1716003417969,623.1500244140625,622.07470703125,0.10000000149011612,26/05/2025 18:12:14,1.885276198387146,0.0032552003394812346
6202,103.35,373.1499938964844,373.20086669921875,623.1500244140625,621.9478759765625,0.10000000149011612,26/05/2025 18:12:15,1.885276198387146,0.003246867563575506
6203,103.36666666666666,373.1499938964844,373.20819091796875,623.1500244140625,621.8843994140625,0.10000000149011612,26/05/2025 18:12:16,1.885276198387146,0.003227704670280218
6204,103.38333333333334,373.1499938964844,373.2154846191406,623.1500244140625,622.8359375,0.10000000149011612,26/05/2025 18:12:17,1.885276198387146,0.0032460330985486507
6205,103.4,373.1499938964844,373.2301330566406,623.1500244140625,622.8359375,0.10000000149011612,26/05/2025 18:12:18,1.885276198387146,0.0032568692695349455
