fecha,Pref
28/05/2025,2.3931
28/05/2025,2.39326
28/05/2025,2.39345
28/05/2025,2.3936
28/05/2025,2.39377
28/05/2025,2.39394
28/05/2025,2.39411
28/05/2025,2.39428
28/05/2025,2.39444
28/05/2025,2.3946
28/05/2025,2.39473
28/05/2025,2.39487
28/05/2025,2.39504
28/05/2025,2.39522
28/05/2025,2.39538
28/05/2025,2.39553
28/05/2025,2.3957
28/05/2025,2.39583
28/05/2025,2.39602
28/05/2025,2.39617
28/05/2025,2.39632
28/05/2025,2.39648
28/05/2025,2.39663
28/05/2025,2.39676
28/05/2025,2.39694
28/05/2025,2.3971
28/05/2025,2.39727
28/05/2025,2.39741
28/05/2025,2.39756
28/05/2025,2.39773
28/05/2025,2.3979
28/05/2025,2.39804
28/05/2025,2.39821
28/05/2025,2.39837
28/05/2025,2.39851
28/05/2025,2.39866
28/05/2025,2.3988
28/05/2025,2.39896
28/05/2025,2.39914
28/05/2025,2.3993
28/05/2025,2.39944
28/05/2025,2.39959
28/05/2025,2.39975
28/05/2025,2.39992
28/05/2025,2.40006
28/05/2025,2.40021
28/05/2025,2.40036
28/05/2025,2.40055
28/05/2025,2.40073
28/05/2025,2.40084
28/05/2025,2.40103
28/05/2025,2.40117
28/05/2025,2.40132
28/05/2025,2.40149
28/05/2025,2.40161
28/05/2025,2.40177
28/05/2025,2.40194
28/05/2025,2.4021
28/05/2025,2.40224
28/05/2025,2.4024
28/05/2025,2.40253
28/05/2025,2.40272
28/05/2025,2.40289
28/05/2025,2.40304
28/05/2025,2.40318
28/05/2025,2.40333
28/05/2025,2.40346
28/05/2025,2.40359
28/05/2025,2.40376
28/05/2025,2.40392
28/05/2025,2.40403
28/05/2025,2.4042
28/05/2025,2.40437
28/05/2025,2.4045
28/05/2025,2.40465
28/05/2025,2.40479
28/05/2025,2.40494
28/05/2025,2.4051
28/05/2025,2.40523
28/05/2025,2.4054
28/05/2025,2.40555
28/05/2025,2.40566
28/05/2025,2.40581
28/05/2025,2.406
28/05/2025,2.40611
28/05/2025,2.40624
28/05/2025,2.40644
28/05/2025,2.40658
28/05/2025,2.40667
28/05/2025,2.4068
28/05/2025,2.40696
28/05/2025,2.40706
28/05/2025,2.4072
28/05/2025,2.40736
28/05/2025,2.40752
28/05/2025,2.40766
28/05/2025,2.40782
28/05/2025,2.40797
28/05/2025,2.40806
28/05/2025,2.40822
28/05/2025,2.40837
28/05/2025,2.40853
28/05/2025,2.40868
28/05/2025,2.40884
28/05/2025,2.40894
28/05/2025,2.40904
28/05/2025,2.40923
28/05/2025,2.40935
28/05/2025,2.40951
28/05/2025,2.40964
28/05/2025,2.40977
28/05/2025,2.40988
28/05/2025,2.41003
28/05/2025,2.41016
28/05/2025,2.41028
28/05/2025,2.41043
28/05/2025,2.41055
28/05/2025,2.41067
28/05/2025,2.41086
28/05/2025,2.41098
28/05/2025,2.41108
28/05/2025,2.41121
28/05/2025,2.41135
28/05/2025,2.41145
28/05/2025,2.4116
28/05/2025,2.41173
28/05/2025,2.41186
28/05/2025,2.412
28/05/2025,2.41211
28/05/2025,2.41226
28/05/2025,2.41241
28/05/2025,2.41255
28/05/2025,2.41265
28/05/2025,2.41278
28/05/2025,2.41288
28/05/2025,2.41301
28/05/2025,2.41317
28/05/2025,2.4133
28/05/2025,2.41341
28/05/2025,2.41352
28/05/2025,2.41365
28/05/2025,2.41377
28/05/2025,2.41394
28/05/2025,2.41408
28/05/2025,2.41418
28/05/2025,2.41429
28/05/2025,2.41443
28/05/2025,2.41458
28/05/2025,2.4147
28/05/2025,2.41485
28/05/2025,2.41495
28/05/2025,2.41506
28/05/2025,2.41519
28/05/2025,2.41533
28/05/2025,2.41544
28/05/2025,2.41557
28/05/2025,2.41569
28/05/2025,2.41582
28/05/2025,2.41594
28/05/2025,2.41602
28/05/2025,2.41618
28/05/2025,2.41633
28/05/2025,2.41642
28/05/2025,2.41651
28/05/2025,2.41661
28/05/2025,2.41676
28/05/2025,2.41688
28/05/2025,2.41702
28/05/2025,2.41712
28/05/2025,2.41726
28/05/2025,2.41738
28/05/2025,2.41749
28/05/2025,2.41758
28/05/2025,2.41769
28/05/2025,2.4178
28/05/2025,2.41791
28/05/2025,2.41804
28/05/2025,2.41817
28/05/2025,2.4183
28/05/2025,2.41841
28/05/2025,2.41856
28/05/2025,2.41864
28/05/2025,2.41877
28/05/2025,2.41886
28/05/2025,2.419
28/05/2025,2.41913
28/05/2025,2.41921
28/05/2025,2.41932
28/05/2025,2.41948
28/05/2025,2.4196
28/05/2025,2.41972
28/05/2025,2.41982
28/05/2025,2.41994
28/05/2025,2.42004
28/05/2025,2.42015
28/05/2025,2.42026
28/05/2025,2.42037
28/05/2025,2.42047
28/05/2025,2.42056
28/05/2025,2.42065
28/05/2025,2.42081
28/05/2025,2.42093
28/05/2025,2.42105
28/05/2025,2.42113
28/05/2025,2.42124
28/05/2025,2.42135
28/05/2025,2.42147
28/05/2025,2.42159
28/05/2025,2.4217
28/05/2025,2.42181
28/05/2025,2.4219
28/05/2025,2.42198
28/05/2025,2.4221
28/05/2025,2.42221
28/05/2025,2.42228
28/05/2025,2.42238
28/05/2025,2.42248
28/05/2025,2.42258
28/05/2025,2.4227
28/05/2025,2.4228
28/05/2025,2.42291
28/05/2025,2.42302
28/05/2025,2.42309
28/05/2025,2.42321
28/05/2025,2.42337
28/05/2025,2.42345
28/05/2025,2.42355
28/05/2025,2.42363
28/05/2025,2.42375
28/05/2025,2.42383
28/05/2025,2.42395
28/05/2025,2.42408
